Frame,Time,Rigid BodybugRotationX,Rigid BodybugRotationY,Rigid BodybugRotationZ,Rigid BodybugRotationW,Rigid BodybugPositionX,Rigid BodybugPositionY,Rigid BodybugPositionZ,Rigid BodybugError Per Marker,Rigid Body Markerbug_1PositionX,Rigid Body Markerbug_1PositionY,Rigid Body Markerbug_1PositionZ,Rigid Body Markerbug_1Marker Quality,Rigid Body Markerbug_2PositionX,Rigid Body Markerbug_2PositionY,Rigid Body Markerbug_2PositionZ,Rigid Body Markerbug_2Marker Quality,Rigid Body Markerbug_3PositionX,Rigid Body Markerbug_3PositionY,Rigid Body Markerbug_3PositionZ,Rigid Body Markerbug_3Marker Quality,Markerbug:Marker1PositionX,Markerbug:Marker1PositionY,Markerbug:Marker1PositionZ,Markerbug:Marker2PositionX,Markerbug:Marker2PositionY,Markerbug:Marker2PositionZ,Markerbug:Marker3PositionX,Markerbug:Marker3PositionY,Markerbug:Marker3PositionZ,MarkerUnlabeled:100PositionX,MarkerUnlabeled:100PositionY,MarkerUnlabeled:100PositionZ,MarkerUnlabeled:101PositionX,MarkerUnlabeled:101PositionY,MarkerUnlabeled:101PositionZ
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,bug,bug,bug,bug,bug,bug,bug,bug,bug_1,bug_1,bug_1,bug_1,bug_2,bug_2,bug_2,bug_2,bug_3,bug_3,bug_3,bug_3,bug:Marker1,bug:Marker1,bug:Marker1,bug:Marker2,bug:Marker2,bug:Marker2,bug:Marker3,bug:Marker3,bug:Marker3,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.012237,-0.660857,0.005473,-0.750392,0.079787,0.42416,0.142645,0.000105,0.086017,0.447229,0.161385,0.972268,0.066096,0.445494,0.12651,0.980076,0.087248,0.379756,0.14004,0.96879,0.086025,0.44729,0.161427,0.066083,0.445516,0.12649,0.087246,0.379679,0.140003,,,,,,
1,0.008333,0.012263,-0.660905,0.005455,-0.750349,0.079788,0.424162,0.14265,0.000105,0.086019,0.447232,0.161389,0.972726,0.066094,0.445495,0.126516,0.980462,0.087251,0.379759,0.140044,0.968196,0.086026,0.447295,0.161428,0.066082,0.445519,0.126499,0.08725,0.37968,0.140008,,,,,,
2,0.016667,0.012285,-0.660894,0.005445,-0.750359,0.079792,0.424165,0.142652,0.000106,0.086022,0.447235,0.161391,0.972726,0.066098,0.445497,0.126518,0.980462,0.087258,0.379762,0.140048,0.968196,0.086029,0.447297,0.161431,0.066085,0.445522,0.126499,0.087257,0.379683,0.140014,,,,,,
3,0.025,0.012251,-0.660923,0.005488,-0.750333,0.079794,0.424163,0.14265,0.000109,0.086027,0.447233,0.161389,0.971347,0.0661,0.445497,0.126517,0.979476,0.087254,0.37976,0.140046,0.967444,0.086036,0.447298,0.161431,0.066087,0.44552,0.126497,0.087252,0.379679,0.140009,,,,,,
4,0.033333,0.012226,-0.660859,0.005502,-0.75039,0.079796,0.424163,0.142649,0.000111,0.086028,0.447232,0.161389,0.971347,0.066106,0.445497,0.126513,0.979476,0.087254,0.379759,0.140045,0.967444,0.086035,0.447296,0.161431,0.066093,0.445523,0.126494,0.087253,0.379675,0.14001,,,,,,
5,0.041667,0.01226,-0.660859,0.005483,-0.75039,0.079795,0.424164,0.14265,0.000107,0.086024,0.447234,0.161389,0.972136,0.066103,0.445497,0.126514,0.979497,0.087256,0.37976,0.140047,0.967787,0.086032,0.447296,0.16143,0.06609,0.445522,0.126495,0.087255,0.37968,0.140013,,,,,,
6,0.05,0.012235,-0.660837,0.005486,-0.75041,0.079787,0.424165,0.142652,0.000107,0.086017,0.447235,0.161392,0.972136,0.066098,0.4455,0.126515,0.979497,0.087247,0.379762,0.140047,0.967787,0.086025,0.447297,0.161434,0.066085,0.445523,0.126496,0.087245,0.379682,0.140012,,,,,,
7,0.058333,0.012297,-0.660868,0.005457,-0.750381,0.07978,0.424164,0.142654,0.000108,0.086008,0.447234,0.161392,0.972348,0.066086,0.445495,0.126517,0.979495,0.087245,0.379761,0.140051,0.96715,0.086015,0.447296,0.161431,0.066073,0.445522,0.126499,0.087245,0.379678,0.140018,,,,,,
8,0.066667,0.012301,-0.660878,0.005472,-0.750372,0.079772,0.424163,0.142652,0.000107,0.086001,0.447235,0.16139,0.972348,0.066078,0.445495,0.126516,0.979495,0.087236,0.379761,0.140051,0.96715,0.086008,0.447298,0.161431,0.066066,0.445519,0.126498,0.087234,0.37968,0.140015,,,,,,
9,0.075,0.012262,-0.660855,0.005457,-0.750393,0.079766,0.424161,0.142659,0.000108,0.085995,0.447231,0.161399,0.971815,0.066074,0.445495,0.126523,0.979354,0.08723,0.379759,0.140054,0.968036,0.086003,0.447293,0.161441,0.066061,0.445519,0.126503,0.087228,0.379679,0.140019,,,,,,
10,0.083333,0.012297,-0.660912,0.005491,-0.750343,0.079767,0.424157,0.142664,0.000105,0.085999,0.447229,0.161401,0.971815,0.066073,0.445489,0.126529,0.979354,0.08723,0.379754,0.140063,0.968036,0.086006,0.44729,0.161441,0.06606,0.445514,0.12651,0.087229,0.379676,0.140028,,,,,,
11,0.091667,0.012274,-0.660848,0.005465,-0.750399,0.079767,0.42416,0.142669,0.000106,0.085996,0.44723,0.161408,0.972198,0.066076,0.445493,0.126533,0.980387,0.087231,0.379757,0.140066,0.968139,0.086003,0.447294,0.161449,0.066063,0.445515,0.126515,0.087229,0.379678,0.140029,,,,,,
